iter	RMSE
0	0.4851611598
1	0.4737304458
2	0.4636608408
3	0.4530276857
4	0.4422215798
5	0.4316093931
6	0.4223562616
7	0.4132706514
8	0.4034517656
9	0.3955805599
10	0.3871091949
11	0.3790641729
12	0.3723629524
13	0.3649659009
14	0.358091061
15	0.3516553785
16	0.3473256901
17	0.3414366665
18	0.3348683781
19	0.330518599
20	0.325604777
21	0.3208315712
22	0.3158815258
23	0.3109002545
24	0.3062881135
25	0.3025687668
26	0.2981209893
27	0.2942686807
28	0.2901857607
29	0.2863603481
30	0.2830777863
31	0.2795985987
32	0.2758424135
33	0.2718177947
34	0.2684834773
35	0.2659704068
36	0.2625374983
37	0.2598681611
38	0.2573986801
39	0.2551767752
40	0.2524844837
41	0.2501978113
42	0.2483590948
43	0.2463104379
44	0.2445041956
45	0.2429695588
46	0.2414162218
47	0.2388421687
48	0.2372429266
49	0.2353180888
50	0.2341935724
51	0.2326412402
52	0.2309035368
53	0.2295205428
54	0.2284297946
55	0.227089148
56	0.2256078217
57	0.2240561629
58	0.2230935047
59	0.2221624162
60	0.2211526982
61	0.219763446
62	0.2182551228
63	0.2180121694
64	0.2169304773
65	0.2155777124
66	0.2143766487
67	0.2135328963
68	0.2126989847
69	0.2121504909
70	0.2112918763
71	0.2105937672
72	0.2098233151
73	0.2090519203
74	0.2085445849
75	0.2073147906
76	0.206506769
77	0.2057354087
78	0.2044317995
79	0.2037042149
80	0.2029472126
81	0.2023012278
82	0.2018459536
83	0.2014200046
84	0.2009699093
85	0.1999332327
86	0.1993946012
87	0.1986514177
88	0.1974600256
89	0.1970262295
90	0.196433289
91	0.1956442392
92	0.1946417721
93	0.1941789611
94	0.19368925
95	0.1931268393
96	0.1920661135
97	0.1909418688
98	0.1905077246
99	0.1895670074
100	0.1887619935
101	0.1880312251
102	0.1872680673
103	0.1860417661
104	0.1850359187
105	0.1841515096
106	0.1836107181
107	0.1829398055
108	0.1821860983
109	0.1815441418
110	0.1808030807
111	0.1803970862
112	0.1800522147
113	0.1793992355
114	0.178955366
115	0.17805327
116	0.177501375
117	0.1772563946
118	0.1768629122
119	0.1763201272
120	0.1756405454
121	0.1750884004
122	0.1746907504
123	0.174046135
124	0.173081273
125	0.1724053536
126	0.171843323
127	0.1713905677
128	0.1710271966
129	0.1704261911
130	0.1699302786
131	0.1693163956
132	0.1689877736
133	0.1682686128
134	0.1677645873
135	0.1668995523
136	0.1663618299
137	0.1657354632
138	0.1654394777
139	0.1651302809
140	0.1646852094
141	0.1641776135
142	0.1637818194
143	0.1629464514
144	0.1628782452
145	0.1621130102
146	0.1616738771
147	0.161237532
148	0.1609058844
149	0.1602048911
150	0.1596462618
151	0.1593977234
152	0.1590160816
153	0.1585485367
154	0.1579272947
155	0.1576757586
156	0.1572070045
157	0.1568985577
158	0.1563509113
159	0.1560801643
160	0.1553183506
161	0.1549391054
162	0.1544772774
163	0.1537757987
164	0.1532648671
165	0.1529584288
166	0.1522701117
167	0.1517023111
168	0.1513929753
169	0.1511291383
170	0.1507684599
171	0.150075375
172	0.1494765345
173	0.1489411069
174	0.1485587153
175	0.1479899797
176	0.1476997812
177	0.1474598378
178	0.1470167486
179	0.1466574088
180	0.1463913152
181	0.1456738223
182	0.1453158993
183	0.1445984693
184	0.1443947288
185	0.1439999968
186	0.1437061686
187	0.1433235787
188	0.1431240199
189	0.1426298547
190	0.142123494
191	0.1413986879
192	0.1413083435
193	0.141059232
194	0.1406340335
195	0.1401627236
196	0.1399672134
197	0.1395322136
198	0.1389171286
199	0.1383717804
200	0.13792916
201	0.1375524928
202	0.1373525713
203	0.1369711496
204	0.1366911887
205	0.1361691847
206	0.1357281416
207	0.1356034266
208	0.1351460734
209	0.1346409955
210	0.1340212003
211	0.1336670319
212	0.1331408865
213	0.1330925395
214	0.1325664203
215	0.1322170457
216	0.1318087968
217	0.131372526
218	0.1309537916
219	0.1306335402
220	0.1304961412
221	0.1300738157
222	0.1296294227
223	0.1294979043
224	0.1290771154
225	0.128737005
226	0.1282612719
227	0.1277513263
228	0.127238703
229	0.1268605139
230	0.1264473029
231	0.1261735777
232	0.1260273567
233	0.1255654259
234	0.1250986205
235	0.1247294319
236	0.1243263568
237	0.1238330847
238	0.1235088934
239	0.12310577
240	0.1228104882
241	0.122623518
242	0.1222234553
243	0.1219539734
244	0.1216779982
245	0.1212332007
246	0.1209332824
247	0.1206962887
248	0.1202795299
249	0.1200046434
250	0.1197500396
251	0.1196015204
252	0.1193368767
253	0.1188825673
254	0.1188481645
255	0.1186751866
256	0.1182769587
257	0.1182446969
258	0.1179071537
259	0.1176008952
260	0.1172365198
261	0.1170355959
262	0.1168426838
263	0.1167075379
264	0.1161469053
265	0.1159604002
266	0.115802684
267	0.1155855842
268	0.1153415005
269	0.1151445648
270	0.1148623942
271	0.1147461798
272	0.1145756216
273	0.1143725568
274	0.1142231251
275	0.1138812163
276	0.1135376303
277	0.1134207662
278	0.1131527791
279	0.1126729723
280	0.1124610009
281	0.1123493597
282	0.1119380447
283	0.1116895271
284	0.1114121579
285	0.1111644431
286	0.1108627163
287	0.1106122897
288	0.1103483576
289	0.1100794676
290	0.1096995114
291	0.10951104
292	0.1092255018
293	0.109140384
294	0.1090888888
295	0.108778177
296	0.1085289899
297	0.108322054
298	0.1081334705
299	0.1079046904
300	0.1077056611
301	0.1074349771
302	0.1071213462
303	0.1068731672
304	0.106742015
305	0.1063686822
306	0.1060058268
307	0.1058798131
308	0.1057580347
309	0.1055212725
310	0.105343454
311	0.105242501
312	0.1050250201
313	0.1047692647
314	0.1045672907
315	0.1044905849
316	0.1041756581
317	0.1040566793
318	0.1038117511
319	0.1036153729
320	0.1032086621
321	0.1029070591
322	0.1027417779
323	0.1025094745
324	0.1023046425
325	0.1022491221
326	0.1019955722
327	0.1018676928
328	0.1015619678
329	0.1014709726
330	0.1011480966
331	0.1010517644
332	0.1008308945
333	0.1005521984
334	0.1004153936
335	0.1002048271
336	0.1000501397
337	0.0999622263
338	0.09981372987
339	0.09978520583
340	0.09967871394
341	0.09959205467
342	0.09947731536
343	0.09924637282
344	0.09915436322
345	0.09911095922
346	0.09879165526
347	0.09870593343
348	0.09842130208
349	0.09832040256
350	0.09806708083
351	0.09792441193
352	0.0977410845
353	0.09759695501
354	0.09755555261
355	0.09742814551
356	0.09720394405
357	0.09714447935
358	0.09701899354
359	0.09674307921
360	0.09670214171
361	0.09649466791
362	0.0963383122
363	0.0961343254
364	0.09569845325
365	0.09558100826
366	0.09551562927
367	0.0954691871
368	0.09539278618
369	0.09509386094
370	0.09480639884
371	0.09444648976
372	0.09420165211
373	0.09407551337
374	0.09374840975
375	0.09362553659
376	0.09352990328
377	0.09332551416
378	0.09305844882
379	0.09303680113
380	0.09272844353
381	0.09244347451
382	0.09242351856
383	0.09218034865
384	0.09190690915
385	0.09167534229
386	0.09153072678
387	0.09132226809
388	0.09098196756
389	0.09088113972
390	0.0906485066
391	0.09042329163
392	0.09038935579
393	0.09011095032
394	0.09005590485
395	0.08999032078
396	0.08982700348
397	0.08977771443
398	0.08968153103
399	0.08942734262
400	0.08931475725
401	0.08924558262
402	0.08900270173
403	0.08875758809
404	0.08847946812
405	0.08840678338
406	0.08821695592
407	0.0881652866
408	0.08807752595
409	0.08787460162
410	0.08764339636
411	0.08753259536
412	0.08748645168
413	0.08717172255
414	0.08688171512
415	0.08665904244
416	0.08658647532
417	0.0863952433
418	0.08620274628
419	0.08594320127
420	0.08562193547
421	0.08560973733
422	0.08550269357
423	0.08525180249
424	0.08513420865
425	0.0848675828
426	0.08474034251
427	0.08445997078
428	0.08425096751
429	0.08401211187
430	0.08386825279
431	0.08363351165
432	0.08357562966
433	0.08351259318
434	0.08341339118
435	0.08330915498
436	0.08315519427
437	0.08305039267
438	0.08290283371
439	0.08279817015
440	0.08278484553
441	0.08256085808
442	0.08249740839
443	0.0824412779
444	0.08233238684
445	0.08207307098
446	0.0818729207
447	0.08158221975
448	0.0814972592
449	0.08140594812
450	0.08116593031
451	0.0809729855
452	0.08080907441
453	0.08062318837
454	0.08051316454
