iter	Passed	Remaining
0	1	1517
1	1	965
2	2	696
3	2	695
4	3	657
5	3	622
6	4	591
7	4	580
8	5	567
9	5	549
10	5	535
11	6	525
12	6	500
13	7	494
14	7	485
15	7	465
16	7	445
17	8	447
18	8	440
19	8	423
20	9	420
21	9	415
22	9	413
23	10	410
24	10	407
25	10	405
26	11	402
27	11	399
28	11	396
29	12	394
30	12	391
31	12	388
32	13	385
33	13	384
34	13	382
35	14	380
36	14	379
37	15	380
38	15	380
39	15	382
40	16	382
41	16	381
42	17	380
43	17	378
44	17	376
45	18	375
46	18	373
47	18	373
48	19	372
49	19	371
50	20	372
51	20	372
52	20	371
53	21	370
54	21	369
55	21	368
56	22	367
57	22	365
58	22	365
59	23	364
60	23	364
61	23	362
62	24	360
63	24	355
64	24	355
65	25	355
66	25	354
67	25	353
68	26	352
69	26	352
70	26	351
71	27	350
72	27	350
73	27	349
74	28	348
75	28	347
76	28	346
77	29	346
78	29	345
79	30	345
80	30	344
81	30	344
82	31	343
83	31	342
84	31	342
85	32	342
86	32	341
87	32	341
88	33	340
89	33	340
90	33	339
91	34	340
92	34	340
93	35	339
94	35	339
95	35	338
96	36	337
97	36	336
98	36	335
99	37	335
100	37	334
101	37	334
102	38	333
103	38	333
104	39	333
105	39	332
106	39	332
107	40	331
108	40	330
109	40	330
110	41	330
111	41	329
112	41	329
113	42	328
114	42	328
115	43	328
116	43	328
117	43	327
118	44	327
119	44	326
120	44	326
121	45	326
122	45	325
123	46	325
124	46	324
125	46	324
126	47	323
127	47	323
128	47	322
129	48	322
130	48	321
131	48	321
132	49	320
133	49	320
134	49	320
135	50	319
136	50	319
137	51	318
138	51	318
139	51	318
140	52	317
141	52	317
142	52	316
143	53	316
144	53	314
145	53	314
146	54	313
147	54	313
148	54	312
149	55	312
150	55	311
151	55	311
152	56	310
153	56	310
154	56	309
155	57	309
156	57	309
157	57	308
158	58	308
159	58	307
160	59	307
161	59	307
162	59	306
163	60	306
164	60	305
165	60	305
166	61	305
167	61	305
168	62	304
169	62	304
170	62	304
171	63	303
172	63	303
173	63	303
174	64	302
175	64	302
176	64	301
177	65	301
178	65	301
179	66	300
180	66	300
181	66	300
182	67	300
183	67	299
184	68	299
185	69	302
186	69	301
187	69	301
188	70	302
189	70	302
190	71	302
191	71	301
192	72	302
193	73	303
194	73	304
195	74	304
196	74	304
197	75	305
198	76	307
199	76	307
200	77	307
201	77	307
202	78	307
203	78	307
204	79	307
205	79	306
206	79	306
207	80	305
208	80	305
209	81	305
210	81	304
211	81	304
212	82	304
213	82	304
214	83	304
215	83	304
216	84	304
217	84	304
218	85	304
219	85	304
220	86	304
221	86	304
222	87	304
223	87	303
224	88	303
225	88	303
226	89	303
227	89	303
228	90	303
229	90	303
230	90	302
231	91	302
232	92	302
233	92	302
234	92	302
235	93	302
236	93	302
237	94	301
238	94	301
239	95	301
240	95	300
241	95	300
242	96	299
243	96	299
244	97	299
245	97	299
246	98	299
247	98	299
248	99	299
249	99	298
250	100	299
251	100	298
252	101	298
253	101	298
254	101	297
255	102	297
256	102	296
257	103	296
258	103	296
259	103	295
260	104	295
261	104	294
262	104	293
263	105	293
264	105	293
265	106	292
266	106	292
267	106	291
268	107	291
269	107	290
270	107	290
271	108	289
272	108	289
273	108	288
274	109	288
275	109	287
276	110	287
277	110	286
278	110	286
279	111	285
280	111	285
281	111	284
282	112	284
283	112	283
284	112	283
285	113	282
286	113	282
287	114	283
288	114	282
289	115	282
290	115	282
291	116	282
292	116	281
293	117	281
294	117	280
295	117	280
296	118	279
297	118	279
298	118	278
299	119	278
300	119	277
301	120	277
302	120	277
303	121	277
304	121	276
305	121	276
306	122	275
307	122	275
308	122	274
309	123	274
310	123	274
311	124	273
312	124	272
313	124	272
314	125	271
315	125	271
316	125	270
317	126	270
318	126	270
319	126	269
320	127	269
321	127	269
322	128	268
323	128	268
324	128	267
325	129	267
326	129	266
327	130	266
328	130	266
329	131	266
330	131	266
331	132	265
332	132	265
333	133	265
334	133	264
335	133	264
336	134	263
337	134	263
338	134	263
339	135	262
340	135	262
341	135	261
342	136	261
343	136	260
344	137	260
345	137	259
346	137	259
347	138	258
348	138	258
349	138	258
350	139	257
351	139	257
352	139	256
353	140	256
354	140	255
355	141	255
356	141	255
357	141	254
358	142	254
359	142	253
360	143	253
361	143	253
362	143	252
363	144	252
364	144	251
365	145	251
366	145	250
367	145	250
368	146	250
369	147	250
370	147	250
371	148	250
372	149	251
373	149	250
374	150	250
375	150	249
376	150	249
377	151	249
378	151	248
379	152	248
380	152	247
381	152	247
382	153	246
383	153	245
384	153	245
385	154	245
386	154	244
387	154	244
388	155	243
389	155	243
390	155	242
391	156	242
392	156	241
393	156	241
394	157	240
395	157	240
396	158	240
397	158	239
398	158	239
399	159	238
400	159	238
401	160	238
402	160	238
403	161	238
404	161	237
405	162	237
406	162	236
407	162	236
408	163	236
409	163	235
410	164	235
411	164	235
412	165	234
413	165	234
414	166	234
415	166	234
416	167	233
417	167	233
418	167	232
419	168	232
420	168	232
421	169	231
422	169	231
423	169	230
424	170	230
425	170	229
426	170	229
427	171	228
428	171	228
429	171	227
430	172	227
431	172	227
432	173	226
433	173	226
434	173	225
435	174	225
436	174	224
437	174	224
438	175	224
439	175	223
440	175	223
441	176	222
442	176	222
443	177	222
444	177	221
445	178	221
446	178	221
447	179	221
448	180	221
449	181	221
450	182	221
451	182	221
452	183	221
453	184	221
454	184	221
455	185	220
456	185	220
457	186	220
458	187	220
459	188	220
460	189	221
461	191	222
462	192	223
463	193	224
464	194	224
465	195	223
466	196	224
467	199	226
468	200	226
469	200	226
470	201	226
471	201	225
472	202	225
473	202	224
474	203	224
475	203	223
476	203	223
477	204	222
478	204	222
479	204	222
480	205	221
481	205	221
482	206	220
483	206	220
484	206	219
485	207	219
486	207	218
487	208	218
488	208	218
489	209	218
490	210	218
491	211	218
492	212	218
493	212	217
494	213	218
495	214	217
496	214	217
497	215	216
498	215	216
499	216	216
500	216	215
501	216	215
502	217	214
503	217	214
504	217	213
505	218	213
506	218	212
507	219	212
508	219	211
509	220	211
510	220	210
511	220	210
512	221	209
513	221	209
514	221	208
515	222	208
516	222	208
517	223	207
518	223	207
519	224	207
520	225	206
521	225	206
522	226	206
523	226	206
524	227	205
525	228	205
526	228	205
527	229	204
528	229	204
529	229	203
530	230	203
531	230	203
532	231	202
533	231	202
534	231	201
535	232	201
536	232	200
537	233	200
538	233	199
539	234	199
540	234	198
541	234	198
542	235	198
543	235	197
544	236	197
545	236	196
546	237	196
547	237	195
548	238	195
549	238	195
550	238	194
551	239	194
552	239	193
553	240	193
554	242	194
555	242	193
556	242	193
557	243	192
558	243	192
559	244	191
560	244	191
561	244	190
562	245	190
563	245	189
564	245	189
565	246	188
566	246	188
567	246	187
568	247	187
569	247	186
570	247	186
571	248	185
572	248	185
573	248	184
574	249	184
575	249	183
576	250	183
577	250	182
578	250	182
579	251	181
580	251	181
581	251	180
582	252	180
583	252	180
584	253	179
585	253	179
586	253	178
587	254	178
588	254	177
589	255	177
590	256	177
591	256	176
592	257	176
593	257	176
594	257	175
595	258	175
596	258	174
597	259	174
598	259	173
599	259	173
600	260	172
601	260	172
602	261	171
603	261	171
604	261	170
605	262	170
606	262	170
607	263	169
608	263	169
609	263	168
610	264	168
611	264	167
612	265	167
613	265	167
614	266	166
615	266	166
616	267	165
617	267	165
618	267	164
619	268	164
620	268	163
621	268	163
622	269	162
623	269	162
624	270	162
625	270	161
626	271	161
627	271	160
628	272	160
629	272	160
630	273	159
631	273	159
632	274	158
633	274	158
634	274	157
635	275	157
636	275	157
637	275	156
638	276	156
639	276	155
640	277	155
641	277	154
642	277	154
643	278	153
644	278	153
645	279	152
646	279	152
647	279	152
648	280	151
649	280	151
650	280	150
651	281	150
652	281	149
653	282	149
654	282	148
655	282	148
656	283	147
657	283	147
658	283	146
659	284	146
660	284	145
661	285	145
662	286	145
663	286	144
664	286	144
665	287	144
666	287	143
667	288	143
668	288	142
669	289	142
670	289	142
671	290	141
672	290	141
673	290	140
674	291	140
675	291	139
676	291	139
677	292	138
678	293	138
679	294	138
680	295	138
681	296	138
682	297	138
683	298	137
